{'Decanus': 42.72, 'Legatus legionis': 1.01, 'Decurion': 25.96, 'Centurion': 15.58, 'Praefectus castrorum': 5.8, 'Tribunus laticlavius': 1.92, 'Pilus prior': 8.2}
{'Gold Car Paint': 14.39, 'Red Car Paint': 14.81, 'Purple Car Paint': 14.39, 'Green Car Paint': 14.5, 'Black Car Paint': 14.68, 'Yellow Car Paint': 14.08, 'Blue Car Paint': 14.34}
{'Carbon Fiber': 11.55, 'Digital Camo': 7.92, 'MSMC Copper Matte': 8.08, 'TitaniumBlk': 12.17, 'Lambo Gold': 1.18, 'Cosmic Blue': 12.2, 'Matte Black': 12.62, 'Trippy Black/Red': 2.34, 'Trippy Yellow': 2.2, 'MSMC Copper Liquid': 7.85, 'Ice': 1.24, 'Holographic': 8.13, 'Lava': 2.33, 'Neon': 2.04, 'Hot Pink': 2.41, 'Trippy Red/Black': 2.38, 'Fire': 1.0, 'Electric': 1.17, 'Trippy Black/White': 2.38}
{'Guardian 1 / BASE': 42.03, 'Guardian 5 / WINGS': 5.59, 'Guardian 3': 16.57, 'Guardian 2': 25.45, 'Guardian 4': 11.55}
{'Daft Punk': 1.22, 'Green Eyes': 10.87, 'KILL Text': 6.22, 'X_X': 6.75, 'xD': 6.56, 'Blue Skull': 5.03, '$': 5.15, 'Blue Eyes': 10.37, 'Red Skull': 3.44, ':)': 6.57, 'o_o': 6.83, 'Heart': 7.24, 'SOL Symbol': 4.74, 'Mask': 2.31, 'Target': 2.44, 'Red Eyes': 10.76, 'Green Skull': 4.69}
1: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Daft Punk, No Weapon
1615: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 2, Heart, Sniper
1616: Pilus prior, Gold Car Paint, MSMC Copper Liquid, Guardian 2, o_o, Sniper
1617: Decurion, Gold Car Paint, MSMC Copper Matte, Guardian 1 / BASE, X_X, Sniper
1618: Decanus, Green Car Paint, Cosmic Blue, Guardian 1 / BASE, Red Eyes, No Weapon
1619: Decanus, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, SOL Symbol, No Weapon
1620: Decurion, Purple Car Paint, TitaniumBlk, Guardian 2, Blue Eyes, No Weapon
1621: Decanus, Yellow Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Green Skull, No Weapon
1622: Pilus prior, Gold Car Paint, Holographic, Guardian 1 / BASE, Blue Skull, No Weapon
1623: Decanus, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, Target, No Weapon
1624: Decanus, Yellow Car Paint, TitaniumBlk, Guardian 2, X_X, Electric Katana
1625: Decurion, Blue Car Paint, TitaniumBlk, Guardian 2, :), Electric Sniper
1626: Decanus, Yellow Car Paint, TitaniumBlk, Guardian 2, Green Eyes, No Weapon
1627: Centurion, Purple Car Paint, Digital Camo, Guardian 5 / WINGS, :), Fire Sniper
1628: Decurion, Gold Car Paint, Cosmic Blue, Guardian 3, $, No Weapon
1629: Decurion, Purple Car Paint, Lambo Gold, Guardian 1 / BASE, Green Skull, Sniper
1630: Decurion, Purple Car Paint, Trippy Red/Black, Guardian 1 / BASE, Target, Katana
1631: Centurion, Yellow Car Paint, Matte Black, Guardian 1 / BASE, Mask, No Weapon
1632: Pilus prior, Yellow Car Paint, Digital Camo, Guardian 2, Red Skull, No Weapon
1633: Decurion, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, xD, No Weapon
1634: Centurion, Black Car Paint, Lambo Gold, Guardian 1 / BASE, Blue Eyes, No Weapon
1635: Praefectus castrorum, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, o_o, Katana
1636: Pilus prior, Black Car Paint, Trippy Red/Black, Guardian 4, xD, Sniper
1637: Tribunus laticlavius, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, Heart, No Weapon
1638: Pilus prior, Red Car Paint, Trippy Red/Black, Guardian 1 / BASE, :), Sniper
1639: Praefectus castrorum, Gold Car Paint, Matte Black, Guardian 3, SOL Symbol, Katana
1640: Decanus, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Eyes, Sniper
1641: Decurion, Yellow Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Mask, Electric Katana
1642: Centurion, Blue Car Paint, Trippy Red/Black, Guardian 3, Green Eyes, No Weapon
1643: Decurion, Purple Car Paint, TitaniumBlk, Guardian 2, KILL Text, No Weapon
1644: Decanus, Red Car Paint, Cosmic Blue, Guardian 5 / WINGS, Blue Eyes, No Weapon
1645: Centurion, Red Car Paint, Carbon Fiber, Guardian 3, o_o, Electric Katana
1646: Decanus, Black Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, No Weapon
1647: Decanus, Yellow Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, Fire Sniper
1648: Decanus, Black Car Paint, Carbon Fiber, Guardian 3, :), Katana
1649: Centurion, Green Car Paint, Trippy Black/White, Guardian 2, SOL Symbol, No Weapon
1650: Decanus, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, :), No Weapon
1651: Decanus, Red Car Paint, Carbon Fiber, Guardian 2, Green Eyes, No Weapon
1652: Praefectus castrorum, Black Car Paint, Holographic, Guardian 1 / BASE, o_o, No Weapon
1653: Decanus, Gold Car Paint, TitaniumBlk, Guardian 2, $, No Weapon
1654: Decurion, Gold Car Paint, Carbon Fiber, Guardian 2, Green Eyes, Electric Katana
1655: Decanus, Green Car Paint, Cosmic Blue, Guardian 3, $, No Weapon
1656: Decanus, Black Car Paint, Cosmic Blue, Guardian 2, KILL Text, Katana
1657: Decanus, Red Car Paint, TitaniumBlk, Guardian 3, Green Eyes, No Weapon
1658: Centurion, Red Car Paint, Ice, Guardian 1 / BASE, Red Eyes, No Weapon
1659: Decanus, Red Car Paint, Matte Black, Guardian 3, X_X, No Weapon
1660: Decanus, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Red Eyes, No Weapon
1661: Decurion, Black Car Paint, Digital Camo, Guardian 1 / BASE, Blue Eyes, No Weapon
1662: Decanus, Red Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Eyes, No Weapon
1663: Decanus, Red Car Paint, TitaniumBlk, Guardian 5 / WINGS, Green Skull, No Weapon
1664: Decanus, Green Car Paint, TitaniumBlk, Guardian 3, xD, Katana
1665: Decurion, Yellow Car Paint, Carbon Fiber, Guardian 1 / BASE, Red Eyes, No Weapon
1666: Centurion, Red Car Paint, TitaniumBlk, Guardian 3, :), No Weapon
1667: Decurion, Blue Car Paint, Matte Black, Guardian 2, :), No Weapon
1668: Centurion, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, KILL Text, No Weapon
1669: Decanus, Red Car Paint, Cosmic Blue, Guardian 1 / BASE, Mask, No Weapon
1670: Decanus, Yellow Car Paint, MSMC Copper Matte, Guardian 2, Blue Skull, No Weapon
1671: Decurion, Blue Car Paint, Lambo Gold, Guardian 3, $, No Weapon
1672: Decurion, Gold Car Paint, Matte Black, Guardian 2, Blue Eyes, No Weapon
1673: Pilus prior, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, :), Katana
1674: Decurion, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, o_o, No Weapon
1675: Praefectus castrorum, Red Car Paint, TitaniumBlk, Guardian 4, KILL Text, Katana
1676: Centurion, Yellow Car Paint, Lambo Gold, Guardian 2, Red Eyes, No Weapon
1677: Decurion, Blue Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, No Weapon
1678: Legatus legionis, Red Car Paint, Hot Pink, Guardian 1 / BASE, xD, Ice Sniper
1679: Centurion, Gold Car Paint, MSMC Copper Liquid, Guardian 2, Heart, No Weapon
1680: Praefectus castrorum, Black Car Paint, Holographic, Guardian 1 / BASE, Daft Punk, No Weapon
1681: Decanus, Purple Car Paint, Lava, Guardian 2, Red Skull, Katana
1682: Decanus, Yellow Car Paint, Holographic, Guardian 2, Blue Eyes, Sniper
1683: Centurion, Green Car Paint, Matte Black, Guardian 1 / BASE, KILL Text, Electric Sniper
1684: Decurion, Red Car Paint, Carbon Fiber, Guardian 2, Red Eyes, No Weapon
1685: Decurion, Red Car Paint, MSMC Copper Liquid, Guardian 2, Heart, Fire Katana
1686: Decanus, Blue Car Paint, Matte Black, Guardian 1 / BASE, Mask, Sniper
1687: Decanus, Green Car Paint, MSMC Copper Liquid, Guardian 5 / WINGS, Blue Skull, No Weapon
1688: Decanus, Red Car Paint, Trippy Red/Black, Guardian 3, SOL Symbol, No Weapon
1689: Pilus prior, Red Car Paint, Matte Black, Guardian 2, Blue Skull, Sniper
1690: Decanus, Black Car Paint, MSMC Copper Matte, Guardian 2, o_o, Katana
1691: Pilus prior, Gold Car Paint, Trippy Black/Red, Guardian 1 / BASE, $, Katana
1692: Praefectus castrorum, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Skull, Katana
1693: Decurion, Red Car Paint, Digital Camo, Guardian 1 / BASE, :), No Weapon
1694: Decurion, Purple Car Paint, Trippy Yellow, Guardian 4, Green Eyes, No Weapon
1695: Decurion, Black Car Paint, Digital Camo, Guardian 2, SOL Symbol, No Weapon
1696: Decurion, Yellow Car Paint, Cosmic Blue, Guardian 2, Green Skull, Fire Katana
1697: Centurion, Black Car Paint, Digital Camo, Guardian 3, Blue Skull, Sniper
1698: Decanus, Blue Car Paint, Cosmic Blue, Guardian 4, Blue Eyes, Ice Katana
1699: Decurion, Yellow Car Paint, Trippy Black/White, Guardian 2, Blue Skull, No Weapon
1700: Decurion, Green Car Paint, Matte Black, Guardian 2, KILL Text, Fire Katana
1701: Decanus, Gold Car Paint, MSMC Copper Liquid, Guardian 2, Red Eyes, Katana
1702: Centurion, Red Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, No Weapon
1703: Decurion, Purple Car Paint, MSMC Copper Matte, Guardian 3, Blue Eyes, No Weapon
1704: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 2, Heart, No Weapon
1705: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Target, No Weapon
1706: Decanus, Purple Car Paint, TitaniumBlk, Guardian 2, o_o, No Weapon
1707: Decanus, Red Car Paint, Lava, Guardian 4, SOL Symbol, No Weapon
1708: Decurion, Red Car Paint, Holographic, Guardian 1 / BASE, Green Eyes, No Weapon
1709: Decanus, Black Car Paint, Trippy Red/Black, Guardian 4, o_o, Katana
1710: Decanus, Yellow Car Paint, Lava, Guardian 1 / BASE, Red Eyes, No Weapon
1711: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 2, :), No Weapon
1712: Decurion, Red Car Paint, Holographic, Guardian 1 / BASE, Blue Eyes, No Weapon
1713: Legatus legionis, Blue Car Paint, Matte Black, Guardian 2, xD, No Weapon
1714: Centurion, Blue Car Paint, Lambo Gold, Guardian 1 / BASE, o_o, Sniper
1715: Decanus, Red Car Paint, MSMC Copper Liquid, Guardian 2, o_o, No Weapon
1716: Decurion, Black Car Paint, Trippy Black/Red, Guardian 5 / WINGS, X_X, No Weapon
1717: Decurion, Gold Car Paint, Matte Black, Guardian 4, Heart, No Weapon
1718: Decanus, Yellow Car Paint, Digital Camo, Guardian 1 / BASE, Daft Punk, Electric Katana
1719: Decurion, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Eyes, Sniper
1720: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Green Eyes, Katana
1721: Decanus, Purple Car Paint, Carbon Fiber, Guardian 2, o_o, No Weapon
1722: Praefectus castrorum, Black Car Paint, Carbon Fiber, Guardian 3, xD, Katana
1723: Decanus, Green Car Paint, TitaniumBlk, Guardian 3, :), No Weapon
1724: Decurion, Red Car Paint, TitaniumBlk, Guardian 1 / BASE, o_o, No Weapon
1725: Decanus, Blue Car Paint, Trippy Black/Red, Guardian 2, Red Eyes, No Weapon
1726: Decanus, Gold Car Paint, TitaniumBlk, Guardian 4, $, No Weapon
1727: Centurion, Gold Car Paint, Digital Camo, Guardian 1 / BASE, xD, No Weapon
1728: Decurion, Green Car Paint, TitaniumBlk, Guardian 2, Blue Skull, Electric Sniper
1729: Decanus, Yellow Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, No Weapon
1730: Centurion, Yellow Car Paint, Matte Black, Guardian 1 / BASE, X_X, No Weapon
1731: Decanus, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, o_o, No Weapon
1732: Pilus prior, Black Car Paint, MSMC Copper Matte, Guardian 4, Heart, No Weapon
1733: Pilus prior, Gold Car Paint, Matte Black, Guardian 3, :), No Weapon
1734: Decanus, Blue Car Paint, MSMC Copper Liquid, Guardian 2, KILL Text, No Weapon
1735: Decanus, Blue Car Paint, Carbon Fiber, Guardian 4, Green Skull, No Weapon
1736: Decanus, Red Car Paint, Holographic, Guardian 3, Green Eyes, No Weapon
1737: Decanus, Blue Car Paint, Carbon Fiber, Guardian 4, Red Eyes, No Weapon
1738: Decurion, Black Car Paint, Matte Black, Guardian 1 / BASE, o_o, No Weapon
1739: Decanus, Purple Car Paint, Holographic, Guardian 1 / BASE, Blue Eyes, Fire Katana
1740: Decanus, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Eyes, Sniper
1741: Decanus, Red Car Paint, Matte Black, Guardian 2, xD, Fire Sniper
1742: Decurion, Purple Car Paint, Cosmic Blue, Guardian 3, $, Katana
1743: Decanus, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, xD, No Weapon
1744: Tribunus laticlavius, Red Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, No Weapon
1745: Decurion, Gold Car Paint, MSMC Copper Matte, Guardian 3, o_o, No Weapon
1746: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Eyes, Electric Katana
1747: Decanus, Black Car Paint, Trippy Black/Red, Guardian 3, Blue Eyes, Katana
1748: Decanus, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, Target, Fire Sniper
1749: Praefectus castrorum, Black Car Paint, Digital Camo, Guardian 5 / WINGS, KILL Text, No Weapon
1750: Centurion, Green Car Paint, Matte Black, Guardian 3, Blue Eyes, Katana
1751: Decurion, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, Red Eyes, No Weapon
1752: Decanus, Green Car Paint, MSMC Copper Liquid, Guardian 4, Target, No Weapon
1753: Pilus prior, Blue Car Paint, Digital Camo, Guardian 1 / BASE, Red Skull, No Weapon
1754: Decurion, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, $, Sniper
1755: Decurion, Green Car Paint, Carbon Fiber, Guardian 2, SOL Symbol, Katana
1756: Decurion, Green Car Paint, Trippy Red/Black, Guardian 3, xD, Fire Sniper
1757: Decurion, Yellow Car Paint, Cosmic Blue, Guardian 3, Green Eyes, Ice Sniper
1758: Centurion, Blue Car Paint, Matte Black, Guardian 3, :), No Weapon
1759: Decurion, Red Car Paint, Lambo Gold, Guardian 1 / BASE, Red Eyes, No Weapon
1760: Pilus prior, Purple Car Paint, Carbon Fiber, Guardian 2, Green Skull, No Weapon
1761: Decurion, Black Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, No Weapon
1762: Centurion, Green Car Paint, MSMC Copper Liquid, Guardian 4, SOL Symbol, Katana
1763: Decanus, Green Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, o_o, No Weapon
1764: Decurion, Red Car Paint, Digital Camo, Guardian 4, X_X, Katana
1765: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, o_o, No Weapon
1766: Decurion, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Eyes, No Weapon
1767: Decanus, Red Car Paint, TitaniumBlk, Guardian 1 / BASE, X_X, No Weapon
1768: Decanus, Gold Car Paint, TitaniumBlk, Guardian 2, Green Skull, No Weapon
1769: Decanus, Blue Car Paint, Matte Black, Guardian 3, Red Eyes, No Weapon
1770: Decurion, Blue Car Paint, Matte Black, Guardian 2, Heart, Electric Sniper
1771: Decanus, Yellow Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, xD, Electric Katana
1772: Decurion, Gold Car Paint, Matte Black, Guardian 2, Heart, No Weapon
1773: Centurion, Blue Car Paint, Trippy Black/White, Guardian 1 / BASE, Green Eyes, No Weapon
1774: Centurion, Purple Car Paint, Carbon Fiber, Guardian 3, $, Electric Katana
1775: Decanus, Green Car Paint, Digital Camo, Guardian 1 / BASE, Daft Punk, No Weapon
1776: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 2, X_X, No Weapon
1777: Decurion, Green Car Paint, Lambo Gold, Guardian 2, Green Eyes, No Weapon
1778: Decanus, Yellow Car Paint, Electric, Guardian 1 / BASE, SOL Symbol, No Weapon
1779: Decanus, Red Car Paint, TitaniumBlk, Guardian 3, Blue Skull, Katana
1780: Decanus, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, :), No Weapon
1781: Pilus prior, Black Car Paint, Holographic, Guardian 5 / WINGS, Green Eyes, No Weapon
1782: Praefectus castrorum, Red Car Paint, Fire, Guardian 2, xD, No Weapon
1783: Decanus, Blue Car Paint, MSMC Copper Matte, Guardian 1 / BASE, $, No Weapon
1784: Decanus, Blue Car Paint, Matte Black, Guardian 3, Mask, No Weapon
1785: Decurion, Yellow Car Paint, Carbon Fiber, Guardian 3, Blue Eyes, No Weapon
1786: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 3, Blue Eyes, No Weapon
1787: Centurion, Gold Car Paint, Matte Black, Guardian 1 / BASE, Red Skull, Ice Sniper
1788: Decanus, Blue Car Paint, Carbon Fiber, Guardian 3, Blue Skull, No Weapon
1789: Decurion, Green Car Paint, MSMC Copper Liquid, Guardian 2, Green Skull, No Weapon
1790: Decanus, Green Car Paint, Trippy Yellow, Guardian 3, Target, No Weapon
1791: Centurion, Purple Car Paint, Trippy Yellow, Guardian 5 / WINGS, $, No Weapon
1792: Decurion, Purple Car Paint, Holographic, Guardian 1 / BASE, KILL Text, Electric Katana
1793: Pilus prior, Red Car Paint, TitaniumBlk, Guardian 5 / WINGS, Green Eyes, No Weapon
1794: Decanus, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, X_X, Katana
1795: Decurion, Yellow Car Paint, Matte Black, Guardian 3, Blue Eyes, Fire Katana
1796: Decanus, Gold Car Paint, Trippy Black/Red, Guardian 1 / BASE, X_X, No Weapon
1797: Decurion, Gold Car Paint, Cosmic Blue, Guardian 5 / WINGS, Red Eyes, Electric Sniper
1798: Decanus, Yellow Car Paint, Matte Black, Guardian 2, Green Eyes, Ice Katana
1799: Decanus, Black Car Paint, Trippy Red/Black, Guardian 2, Blue Eyes, Flamethrower X
1800: Centurion, Green Car Paint, Matte Black, Guardian 2, Red Eyes, No Weapon
1801: Decurion, Red Car Paint, MSMC Copper Liquid, Guardian 4, Red Eyes, Sniper
1802: Decanus, Yellow Car Paint, MSMC Copper Liquid, Guardian 5 / WINGS, Green Skull, No Weapon
1803: Pilus prior, Green Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Skull, Sniper
1804: Decanus, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, KILL Text, Ice Sniper
1805: Decurion, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, Blue Eyes, Sniper
1806: Centurion, Yellow Car Paint, Holographic, Guardian 2, xD, No Weapon
1807: Praefectus castrorum, Yellow Car Paint, MSMC Copper Matte, Guardian 5 / WINGS, X_X, Katana
1808: Decanus, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, X_X, No Weapon
1809: Decanus, Gold Car Paint, Carbon Fiber, Guardian 2, Blue Eyes, Electric Sniper
1810: Centurion, Purple Car Paint, Digital Camo, Guardian 4, Blue Eyes, No Weapon
1811: Decanus, Red Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Heart, No Weapon
1812: Decanus, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, o_o, Electric Katana
1813: Decurion, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Eyes, No Weapon
1814: Pilus prior, Red Car Paint, Digital Camo, Guardian 2, :), No Weapon
1815: Praefectus castrorum, Blue Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, KILL Text, Ice Sniper
1816: Decanus, Red Car Paint, TitaniumBlk, Guardian 5 / WINGS, SOL Symbol, No Weapon
1817: Pilus prior, Purple Car Paint, Digital Camo, Guardian 1 / BASE, SOL Symbol, No Weapon
1818: Decanus, Purple Car Paint, Holographic, Guardian 1 / BASE, Green Skull, No Weapon
1819: Centurion, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, X_X, Sniper
1820: Decurion, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Eyes, No Weapon
1821: Decanus, Blue Car Paint, Lambo Gold, Guardian 1 / BASE, Red Eyes, No Weapon
1822: Decanus, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Eyes, No Weapon
1823: Decanus, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, o_o, No Weapon
1824: Praefectus castrorum, Blue Car Paint, Matte Black, Guardian 3, Green Eyes, No Weapon
1825: Centurion, Green Car Paint, MSMC Copper Liquid, Guardian 3, Heart, No Weapon
1826: Decanus, Green Car Paint, Lambo Gold, Guardian 1 / BASE, Blue Skull, Katana
1827: Decurion, Blue Car Paint, Trippy Yellow, Guardian 1 / BASE, Heart, No Weapon
1828: Decurion, Green Car Paint, Trippy Yellow, Guardian 1 / BASE, Green Skull, No Weapon
1829: Centurion, Blue Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Green Skull, No Weapon
1830: Legatus legionis, Green Car Paint, Carbon Fiber, Guardian 3, Blue Eyes, No Weapon
1831: Decurion, Yellow Car Paint, Holographic, Guardian 3, :), No Weapon
1832: Decanus, Gold Car Paint, Carbon Fiber, Guardian 2, xD, No Weapon
1833: Decanus, Purple Car Paint, TitaniumBlk, Guardian 2, Red Eyes, Sniper
1834: Decanus, Blue Car Paint, Cosmic Blue, Guardian 4, Green Eyes, No Weapon
1835: Decanus, Yellow Car Paint, TitaniumBlk, Guardian 2, Blue Eyes, Katana
1836: Decanus, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Skull, No Weapon
1837: Decurion, Gold Car Paint, Trippy Red/Black, Guardian 1 / BASE, Green Eyes, No Weapon
1838: Decurion, Red Car Paint, TitaniumBlk, Guardian 2, Target, No Weapon
1839: Centurion, Green Car Paint, Matte Black, Guardian 1 / BASE, Blue Eyes, No Weapon
1840: Decanus, Red Car Paint, Holographic, Guardian 2, o_o, Ice Sniper
1841: Decanus, Yellow Car Paint, Electric, Guardian 4, Green Skull, No Weapon
1842: Decanus, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, Heart, No Weapon
1843: Centurion, Blue Car Paint, Digital Camo, Guardian 2, $, Sniper
1844: Decanus, Gold Car Paint, Neon, Guardian 3, $, No Weapon
1845: Decanus, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Skull, No Weapon
1846: Decanus, Blue Car Paint, TitaniumBlk, Guardian 2, o_o, No Weapon
1847: Decurion, Red Car Paint, Carbon Fiber, Guardian 1 / BASE, SOL Symbol, No Weapon
1848: Decanus, Blue Car Paint, Digital Camo, Guardian 2, X_X, Sniper
1849: Decurion, Blue Car Paint, Hot Pink, Guardian 2, $, No Weapon
1850: Decurion, Gold Car Paint, Cosmic Blue, Guardian 3, Blue Eyes, No Weapon
1851: Decanus, Purple Car Paint, MSMC Copper Liquid, Guardian 3, Red Skull, No Weapon
1852: Decurion, Gold Car Paint, TitaniumBlk, Guardian 2, Heart, No Weapon
1853: Decurion, Red Car Paint, TitaniumBlk, Guardian 2, Blue Eyes, No Weapon
1854: Pilus prior, Yellow Car Paint, Carbon Fiber, Guardian 1 / BASE, Blue Skull, Electric Katana
1855: Decurion, Blue Car Paint, Matte Black, Guardian 2, KILL Text, Katana
1856: Decurion, Red Car Paint, Electric, Guardian 1 / BASE, Green Skull, No Weapon
1857: Decurion, Gold Car Paint, Carbon Fiber, Guardian 4, Heart, No Weapon
1858: Decurion, Green Car Paint, Trippy Black/Red, Guardian 2, :), No Weapon
1859: Decanus, Purple Car Paint, Cosmic Blue, Guardian 3, $, Sniper
1860: Pilus prior, Blue Car Paint, TitaniumBlk, Guardian 3, SOL Symbol, No Weapon
1861: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 2, KILL Text, Fire Katana
1862: Decanus, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, X_X, No Weapon
1863: Pilus prior, Red Car Paint, Matte Black, Guardian 3, Blue Eyes, No Weapon
1864: Decanus, Yellow Car Paint, MSMC Copper Matte, Guardian 3, KILL Text, No Weapon
1865: Centurion, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Skull, Electric Katana
1866: Decanus, Black Car Paint, Hot Pink, Guardian 4, Mask, No Weapon
1867: Centurion, Red Car Paint, Holographic, Guardian 1 / BASE, Red Eyes, Sniper
1868: Decanus, Black Car Paint, Matte Black, Guardian 4, Blue Skull, No Weapon
1869: Decurion, Green Car Paint, Lava, Guardian 3, X_X, Fire Sniper
1870: Decurion, Green Car Paint, Holographic, Guardian 3, KILL Text, Sniper
1871: Decurion, Gold Car Paint, Lava, Guardian 1 / BASE, SOL Symbol, No Weapon
1872: Decanus, Red Car Paint, TitaniumBlk, Guardian 4, Blue Skull, No Weapon
1873: Decurion, Red Car Paint, Neon, Guardian 1 / BASE, X_X, No Weapon
1874: Decanus, Black Car Paint, Trippy Red/Black, Guardian 3, Blue Eyes, No Weapon
1875: Decurion, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Skull, No Weapon
1876: Tribunus laticlavius, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, Heart, Fire Katana
1877: Decurion, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, Red Eyes, No Weapon
1878: Decanus, Green Car Paint, TitaniumBlk, Guardian 2, KILL Text, No Weapon
1879: Decanus, Black Car Paint, Matte Black, Guardian 1 / BASE, o_o, No Weapon
1880: Decanus, Gold Car Paint, MSMC Copper Liquid, Guardian 2, Green Eyes, No Weapon
1881: Decanus, Gold Car Paint, Digital Camo, Guardian 4, X_X, No Weapon
1882: Decanus, Purple Car Paint, Matte Black, Guardian 1 / BASE, Blue Eyes, Sniper
1883: Decurion, Black Car Paint, Holographic, Guardian 1 / BASE, Green Skull, No Weapon
1884: Centurion, Gold Car Paint, MSMC Copper Matte, Guardian 3, Red Eyes, No Weapon
1885: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 1 / BASE, xD, Ice Sniper
1886: Decurion, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, xD, Katana
1887: Centurion, Black Car Paint, Trippy Black/White, Guardian 3, Heart, Sniper
1888: Centurion, Gold Car Paint, Trippy Red/Black, Guardian 4, Red Eyes, No Weapon
1889: Decurion, Black Car Paint, Lambo Gold, Guardian 1 / BASE, $, Katana
1890: Centurion, Black Car Paint, Holographic, Guardian 2, Red Eyes, No Weapon
1891: Decanus, Black Car Paint, Matte Black, Guardian 1 / BASE, Heart, No Weapon
1892: Pilus prior, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, SOL Symbol, Katana
1893: Pilus prior, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Eyes, No Weapon
1894: Decanus, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, o_o, No Weapon
1895: Decanus, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Eyes, Katana
1896: Centurion, Blue Car Paint, TitaniumBlk, Guardian 2, Blue Skull, No Weapon
1897: Decanus, Yellow Car Paint, MSMC Copper Liquid, Guardian 2, Heart, No Weapon
1898: Decanus, Black Car Paint, TitaniumBlk, Guardian 5 / WINGS, $, No Weapon
